date,raceCourse,raceNo,going,raceName,road,money,class,dist,plc,horseNo,horseName,awt,dhw,draw,lbw,runPos,finishTime,odds,Chinese Name,Code,English Name,Former Name,Sire,Dam,Import Type,Country Of Origin,Age,Foaling Date,Jockey,J_Win,J_2nd,J_3rd,J_4th,J_5th,Total Rides,J_Stakes Won,Trainer,T_Win,T_2nd,T_3rd,T_4th,T_5th,Total Runs,T_Stakes Won,DamRank,SireRank,JockeyRank,TrainerRank
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,11,3.0,VICTORIOUS LEADER,126,991,2,8-1/4,9 10 10 12 11,1:49.13,37,得賞 ,B288,VICTORIOUS LEADER,----,Alamosa,Awesome,PPG,NZ,4.0,2014-09-29 00:00:00,C Wong,9.0,8.0,9.0,9.0,6.0,145.0,14269950.0,C H Yip,7.0,7.0,8.0,8.0,8.0,535.0,41333450.0,8.0,6.0,45.0,36.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,12,4.0,VIRTUS STAR,131,1049,9,9,3 6 5 4 12,1:49.24,9.9,明德之星 ,B395,VIRTUS STAR,Kitson,Sebring,Princess Natural,PPG,AUS,3.0,2015-07-30 00:00:00,J Moreira,20.0,15.0,12.0,11.0,8.0,660.0,162786520.0,D J Hall,5.0,10.0,8.0,8.0,7.0,386.0,29685140.0,nan,6.0,53.0,30.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,13,2.0,BEST EFFORT,121,959,11,10-3/4,1 2 3 5 13,1:49.52,4.6,有衝勁 ,T220,BEST EFFORT,Chinese Jade,Cape Cross,Chinese White,PP,GB,8.0,2011-03-25 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,C Fownes,7.0,8.0,8.0,9.0,9.0,522.0,47634720.0,nan,nan,nan,36.0
2019-05-11 00:00:00,ST,1,GOOD,LOTUS BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1800M,14,10.0,PEARL FURU,124,1168,6,13-1/2,13 12 12 13 14,1:49.96,40,金碧光芒 ,T431,PEARL FURU,Furuvik,Fully Fledged,I'llthinkaboutit,PP,NZ,7.0,2011-11-27 00:00:00,T H So,2.0,6.0,10.0,6.0,10.0,52.0,2163650.0,P O'Sullivan,9.0,9.0,9.0,8.0,8.0,452.0,43964855.0,nan,nan,26.0,43.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,1,8.0,NEVER BETTER,125,1185,6,-,10 10 8 1,1:23.58,6,越跑越好 ,T140,NEVER BETTER,----,Red Giant,Sweet Vibes,PPG,NZ,8.0,2011-01-09 00:00:00,J Moreira,20.0,15.0,12.0,11.0,8.0,660.0,162786520.0,P O'Sullivan,9.0,9.0,9.0,8.0,8.0,452.0,43964855.0,nan,6.0,53.0,43.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,2,10.0,SUREWIN,122,1222,3,N,7 6 5 2,1:23.62,50,為您贏 ,B157,SUREWIN,----,Epaulette,Amoureux,PPG,IRE,4.0,2015-04-13 00:00:00,W L Ho,14.0,14.0,0.0,14.0,0.0,7.0,1087700.0,C W Chang,4.0,4.0,9.0,6.0,7.0,356.0,16814650.0,nan,nan,50.0,28.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,3,1.0,MAJESTIC ENDEAVOUR,122,1162,1,3/4,5 5 7 3,1:23.70,5.3,領闖者 ,A399,MAJESTIC ENDEAVOUR,Sacred Way,High Chaparral,Kylie's Way,PP,AUS,5.0,2013-09-29 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,C Fownes,7.0,8.0,8.0,9.0,9.0,522.0,47634720.0,3.0,4.0,nan,36.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,4,11.0,KEEP GOING,121,1057,4,3/4,4 4 4 4,1:23.71,24,不忘初心 ,B231,KEEP GOING,Collecting Curency,Testa Rossa,Mosoru,PPG,AUS,4.0,2014-10-08 00:00:00,U Rispoli,7.0,7.0,7.0,9.0,8.0,465.0,39452275.0,Y S Tsui,8.0,9.0,8.0,8.0,8.0,523.0,44427620.0,nan,10.0,39.0,40.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,5,13.0,LEISURED FEET,119,1214,14,1-3/4,2 2 2 5,1:23.85,125,印印腳 ,A277,LEISURED FEET,----,Savabeel,Quatro,PPG,NZ,6.0,2013-04-11 00:00:00,T H So,2.0,6.0,10.0,6.0,10.0,52.0,2163650.0,W Y So,6.0,10.0,7.0,7.0,9.0,468.0,37629690.0,12.0,8.0,26.0,33.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,6,2.0,GODSPEED,131,1145,2,2-1/4,8 7 11 6,1:23.95,10,神速寶 ,A087,GODSPEED,----,Savabeel,I Que,PPG,NZ,5.0,2013-06-11 00:00:00,C Y Ho,5.0,5.0,7.0,7.0,7.0,458.0,27797650.0,D J Hall,5.0,10.0,8.0,8.0,7.0,386.0,29685140.0,nan,8.0,30.0,30.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,7,5.0,GAINFULJET,126,1208,12,3-1/4,1 1 1 7,1:24.11,57,盈進 ,V283,GAINFULJET,----,Choisir,Absolute Dream,PPG,AUS,5.0,2013-09-09 00:00:00,M L Yeung,5.0,4.0,5.0,7.0,8.0,461.0,25206850.0,T P Yung,9.0,7.0,5.0,7.0,6.0,351.0,31432560.0,nan,10.0,30.0,43.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,8,7.0,LOTUS BREEZE,123,1074,5,3-1/2,14 14 13 8,1:24.14,6.9,麯院風荷 ,T112,LOTUS BREEZE,Ebanoran,Oasis Dream,Ebadiyla,PP,IRE,8.0,2011-03-13 00:00:00,M F Poon,8.0,8.0,11.0,9.0,10.0,454.0,43238600.0,W Y So,6.0,10.0,7.0,7.0,9.0,468.0,37629690.0,6.0,6.0,42.0,33.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,9,12.0,LIGHTNING MISSILE,120,1164,11,5,3 3 3 9,1:24.38,62,雷霆導彈 ,A281,LIGHTNING MISSILE,----,Smart Missile,Venetian Lady,PPG,AUS,5.0,2013-11-09 00:00:00,K Teetan,9.0,9.0,12.0,10.0,10.0,588.0,70099585.0,K L Man,5.0,6.0,7.0,7.0,11.0,439.0,27281275.0,nan,6.0,45.0,30.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,10,3.0,MASSIVE MILLENNIUM,129,1196,10,5-1/4,9 9 10 10,1:24.40,20,大龍騰 ,T381,MASSIVE MILLENNIUM,Vinnie Eagle,I Am Invincible,Sweet Maggie,PP,AUS,7.0,2011-08-30 00:00:00,C Schofield,9.0,7.0,8.0,11.0,8.0,410.0,55103300.0,T P Yung,9.0,7.0,5.0,7.0,6.0,351.0,31432560.0,nan,11.0,45.0,43.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,11,9.0,SOCCER BRAVE,124,1025,13,6,6 8 6 11,1:24.53,162,勇晉神駒 ,T233,SOCCER BRAVE,Cleveland Street,Windsor Knot,Toy Show,PP,IRE,6.0,2012-10-03 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,D E Ferraris,6.0,8.0,8.0,10.0,9.0,488.0,33464060.0,nan,nan,nan,33.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,12,14.0,LUCKY STORM,120,1118,8,8-3/4,11 11 9 12,1:24.97,2.4,好運齊來 ,B124,LUCKY STORM,Lucky Storm,Red Arrow,Eurostorm,PPG,AUS,5.0,2013-10-20 00:00:00,Z Purton,21.0,17.0,10.0,9.0,7.0,635.0,181824240.0,C S Shum,10.0,8.0,9.0,7.0,7.0,488.0,63076620.0,nan,nan,54.0,45.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,13,6.0,GUERDON HELMET,127,1038,7,12,13 12 14 13,1:25.51,228,頌賞 ,B007,GUERDON HELMET,----,Helmet,Gathering Gold,PPG,AUS,4.0,2014-10-29 00:00:00,M Chadwick,5.0,8.0,5.0,9.0,9.0,386.0,28801650.0,D E Ferraris,6.0,8.0,8.0,10.0,9.0,488.0,33464060.0,nan,3.0,30.0,33.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,14,4.0,ROOKIE STAR,129,970,9,16-3/4,12 13 12 14,1:26.26,28,生力軍 ,A384,ROOKIE STAR,Impossible Choice,Hard Spun,Tango's Choice,PPG,AUS,5.0,2013-10-14 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,P F Yiu,8.0,7.0,11.0,9.0,7.0,414.0,42458950.0,nan,5.0,nan,40.0
2019-05-11 00:00:00,ST,2,GOOD,SAI VAN BRIDGE HANDICAP,TURF - "C" Course,690000,Class 5,1400M,WV,nan,ROCHFORD,114,---,---,---,---,---,---,樂多福 ,A208,ROCHFORD,Rochford,Red Element,Bokissa,PPG,AUS,5.0,2013-08-18 00:00:00,C Wong,9.0,8.0,9.0,9.0,6.0,145.0,14269950.0,L Ho,7.0,8.0,8.0,7.0,9.0,467.0,38093795.0,nan,nan,45.0,36.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,1,14.0,INTREPIC,117,999,13,-,1 1 1 1,1:21.60,37,威力名城 ,A139,INTREPIC,Intrepic,Medaglia d'Oro,Across The Moon,PP,AUS,6.0,2012-08-30 00:00:00,J Moreira,20.0,15.0,12.0,11.0,8.0,660.0,162786520.0,D J Hall,5.0,10.0,8.0,8.0,7.0,386.0,29685140.0,11.0,10.0,53.0,30.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,2,5.0,CARE FREE PRINCE,117,1156,6,3,2 2 2 2,1:22.07,11,瀟灑王子 ,V069,CARE FREE PRINCE,Care Free Boy,Street Sense,Angora,PPG,AUS,6.0,2012-08-21 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,K L Man,5.0,6.0,7.0,7.0,11.0,439.0,27281275.0,11.0,11.0,nan,30.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,3,13.0,WONDER EXPRESS,121,1152,1,3-1/2,5 4 4 3,1:22.17,4.8,喜多樂 ,C224,WONDER EXPRESS,----,Pierro,Choice Words,PPG,AUS,3.0,2015-07-09 00:00:00,C Schofield,9.0,7.0,8.0,11.0,8.0,410.0,55103300.0,C S Shum,10.0,8.0,9.0,7.0,7.0,488.0,63076620.0,10.0,5.0,45.0,45.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,4,10.0,GALLANT LEGACY,124,1057,7,4-1/4,6 7 6 4,1:22.28,46,威武承傳 ,B451,GALLANT LEGACY,Almadiero,Redoute's Choice,Torentosa,ISG,FR,3.0,2015-07-05 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,C W Chang,4.0,4.0,9.0,6.0,7.0,356.0,16814650.0,9.0,9.0,nan,28.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,5,3.0,THOU SHALL SING,131,1062,3,4-3/4,3 3 3 5,1:22.37,116,陽明滿滿 ,B047,THOU SHALL SING,----,Your Song,Shalt Not,PPG,NZ,4.0,2014-10-14 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,W Y So,6.0,10.0,7.0,7.0,9.0,468.0,37629690.0,3.0,3.0,nan,33.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,6,6.0,SOCCER MASTER,117,1115,4,5,10 6 7 6,1:22.42,13,勇晉大師 ,B452,SOCCER MASTER,----,Iffraaj,Neuquen,ISG,GER,4.0,2015-03-30 00:00:00,C Y Ho,5.0,5.0,7.0,7.0,7.0,458.0,27797650.0,D E Ferraris,6.0,8.0,8.0,10.0,9.0,488.0,33464060.0,nan,9.0,30.0,33.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,7,2.0,SONIC FIGHTER,132,1079,9,5,8 11 11 7,1:22.42,2.3,環翠戰士 ,A187,SONIC FIGHTER,----,Castledale,Indy Star,PPG,NZ,5.0,2013-10-30 00:00:00,Z Purton,21.0,17.0,10.0,9.0,7.0,635.0,181824240.0,P O'Sullivan,9.0,9.0,9.0,8.0,8.0,452.0,43964855.0,nan,nan,54.0,43.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,8,11.0,EMERALD SPUR,119,1160,5,5-1/4,9 8 8 8,1:22.43,5.7,綠尚飛馳 ,B258,EMERALD SPUR,----,Super Easy,Emerald Isle,PPG,NZ,5.0,2014-03-10 00:00:00,M F Poon,8.0,8.0,11.0,9.0,10.0,454.0,43238600.0,P F Yiu,8.0,7.0,11.0,9.0,7.0,414.0,42458950.0,nan,10.0,42.0,40.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,9,12.0,HAPPY BOYBOY,119,1048,10,6-3/4,11 10 10 9,1:22.68,75,喜得威 ,C100,HAPPY BOYBOY,----,Husson,Leveller,PPG,NZ,3.0,2015-10-29 00:00:00,M L Yeung,5.0,4.0,5.0,7.0,8.0,461.0,25206850.0,T P Yung,9.0,7.0,5.0,7.0,6.0,351.0,31432560.0,nan,nan,30.0,43.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,10,4.0,LASTING FRIENDSHIP,126,1099,14,7-1/2,7 9 9 10,1:22.82,37,長友之星 ,B251,LASTING FRIENDSHIP,Lasting Friendship,Commands,Loch Maryanne,PP,AUS,6.0,2013-03-09 00:00:00,T H So,2.0,6.0,10.0,6.0,10.0,52.0,2163650.0,L Ho,7.0,8.0,8.0,7.0,9.0,467.0,38093795.0,nan,6.0,26.0,36.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,11,1.0,VOYAGE KING,133,1132,2,9,4 5 5 11,1:23.04,7.5,遨遊神駒 ,B168,VOYAGE KING,Pure Luck,Sidereus,Tatt's Lucky,PP,AUS,4.0,2014-10-09 00:00:00,W L Ho,14.0,14.0,0.0,14.0,0.0,7.0,1087700.0,F C Lor,15.0,11.0,11.0,9.0,8.0,432.0,62296860.0,nan,nan,50.0,48.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,12,8.0,FAIRY FLOSS,125,1034,11,9,12 13 12 12,1:23.04,208,喜氣綿綿 ,C236,FAIRY FLOSS,----,Guillotine,Hang Seng,PPG,NZ,4.0,2015-01-10 00:00:00,K Teetan,9.0,9.0,12.0,10.0,10.0,588.0,70099585.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,45.0,nan
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,13,7.0,DRAGON LEGEND,122,1148,12,16,14 12 13 13,1:24.16,414,皇仁傳奇 ,C169,DRAGON LEGEND,White Iverson,Congrats,Scone,PPG,AUS,3.0,2015-10-27 00:00:00,K C Ng,1.0,2.0,3.0,4.0,4.0,275.0,4990400.0,Y S Tsui,8.0,9.0,8.0,8.0,8.0,523.0,44427620.0,nan,nan,25.0,40.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,14,9.0,TIGERLAD,125,1120,8,26-1/4,13 14 14 14,1:25.81,215,玩斗財星 ,C243,TIGERLAD,----,Tiger Prawn,Je Suis,PPG,NZ,4.0,2015-03-09 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,R Gibson,8.0,7.0,11.0,7.0,9.0,332.0,30533370.0,nan,nan,nan,40.0
2019-05-11 00:00:00,ST,3,GOOD,FRIENDSHIP BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1400M,WV,nan,FORTUNATE RUNNER,126,---,---,---,---,---,---,繽紛駿驥 ,A292,FORTUNATE RUNNER,----,Tavistock,La Campanella,PPG,NZ,5.0,2013-11-20 00:00:00,C Y Ho,5.0,5.0,7.0,7.0,7.0,458.0,27797650.0,K W Lui,12.0,9.0,10.0,7.0,7.0,382.0,46833915.0,nan,11.0,30.0,46.0
2019-05-11 00:00:00,ST,4,GOOD,MACAU-TAIPA BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1200M,1,1.0,GLENEALY GENERALS,133,1107,7,-,4 4 1,1:09.83,5.8,連利福將 ,B475,GLENEALY GENERALS,----,Per Incanto,Grey Swallow,PPG,NZ,3.0,2015-10-26 00:00:00,Z Purton,21.0,17.0,10.0,9.0,7.0,635.0,181824240.0,C H Yip,7.0,7.0,8.0,8.0,8.0,535.0,41333450.0,nan,7.0,54.0,36.0
2019-05-11 00:00:00,ST,4,GOOD,MACAU-TAIPA BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1200M,2,2.0,LITTLE WISE MAN,132,1033,11,1-1/4,11 12 2,1:10.03,2.3,小威人 ,C217,LITTLE WISE MAN,Alamosa Kid,Alamosa,Young American,PPG,NZ,4.0,2015-03-10 00:00:00,W L Ho,14.0,14.0,0.0,14.0,0.0,7.0,1087700.0,F C Lor,15.0,11.0,11.0,9.0,8.0,432.0,62296860.0,2.0,6.0,50.0,48.0
2019-05-11 00:00:00,ST,4,GOOD,MACAU-TAIPA BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1200M,3,6.0,BEST FOR YOU,126,1016,3,1-1/2,8 6 3,1:10.07,167,好友利 ,C223,BEST FOR YOU,Forestville,Not A Single Doubt,Frenchs Forest,PPG,AUS,3.0,2015-10-18 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,Y S Tsui,8.0,9.0,8.0,8.0,8.0,523.0,44427620.0,nan,10.0,nan,40.0
2019-05-11 00:00:00,ST,4,GOOD,MACAU-TAIPA BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1200M,4,10.0,FORTUNE HAPPINESS,120,1103,10,3,7 7 4,1:10.31,15,福喜多多 ,B128,FORTUNE HAPPINESS,----,Starspangledbanner,Suite,PPG,AUS,4.0,2014-09-09 00:00:00,C Y Ho,5.0,5.0,7.0,7.0,7.0,458.0,27797650.0,K W Lui,12.0,9.0,10.0,7.0,7.0,382.0,46833915.0,nan,7.0,30.0,46.0
2019-05-11 00:00:00,ST,4,GOOD,MACAU-TAIPA BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1200M,5,12.0,SUPER MODEL,114,1114,8,3-1/4,2 2 5,1:10.36,60,盈多福 ,B375,SUPER MODEL,----,Harbour Watch,Maid For Winning,ISG,GB,4.0,2015-03-31 00:00:00,K C Ng,1.0,2.0,3.0,4.0,4.0,275.0,4990400.0,C S Shum,10.0,8.0,9.0,7.0,7.0,488.0,63076620.0,4.0,4.0,25.0,45.0
2019-05-11 00:00:00,ST,4,GOOD,MACAU-TAIPA BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1200M,6,11.0,NICE FANDANGO,117,1088,2,3-1/2,1 1 6,1:10.38,8.7,自由旺 ,A209,NICE FANDANGO,Gallant Effort,Reward For Effort,Charmed Lady,PPG,AUS,5.0,2013-09-09 00:00:00,M F Poon,8.0,8.0,11.0,9.0,10.0,454.0,43238600.0,C Fownes,7.0,8.0,8.0,9.0,9.0,522.0,47634720.0,8.0,8.0,42.0,36.0
2019-05-11 00:00:00,ST,4,GOOD,MACAU-TAIPA BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1200M,7,7.0,FARM BUMPER,116,1113,5,3-1/2,10 11 7,1:10.39,28,濃有 ,C244,FARM BUMPER,----,Tycoon Ruler,Buck 'N' Jazz,PPG,AUS,3.0,2015-08-27 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,K L Man,5.0,6.0,7.0,7.0,11.0,439.0,27281275.0,nan,nan,nan,30.0
2019-05-11 00:00:00,ST,4,GOOD,MACAU-TAIPA BRIDGE HANDICAP,TURF - "C" Course,920000,Class 4,1200M,8,5.0,SPEEDY MISSILE,128,1146,4,5-1/4,12 8 8,1:10.65,4.8,超級炮彈 ,C281,SPEEDY MISSILE,Upper Sky,Smart Missile,Skyerush,PPG,AUS,3.0,2015-08-27 00:00:00,K Teetan,9.0,9.0,12.0,10.0,10.0,588.0,70099585.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,45.0,nan
